Action,Condition,Sequence
CostInitialize,,800
FileCost,,900
CostFinalize,,1000
InstallValidate,,1400
InstallInitialize,,1500
InstallAdminPackage,,3900
InstallFiles,,4000
InstallFinalize,,6600
CommonFilesFolder.6492B5CA1425435EB4E109C1192F04D7,,5
DIRCA_NEWRETARGETABLEPROPERTY1.6492B5CA1425435EB4E109C1192F04D7,NEWRETARGETABLEPROPERTY1.6492B5CA1425435EB4E109C1192F04D7="",4
CommonFilesFolder.3689E6D571634F2294B5E633BF0B0BA1,,3
DIRCA_NEWRETARGETABLEPROPERTY1.3689E6D571634F2294B5E633BF0B0BA1,NEWRETARGETABLEPROPERTY1.3689E6D571634F2294B5E633BF0B0BA1="",6
SystemFolder.246EB7AD_459A_4FA8_83D1_41A46D7634B7,,2
WindowsFolder.98CB24AD_52FB_DB5F_FF1F_C8B3B9A1E18E,,1
SystemFolder.98CB24AD_52FB_DB5F_FF1F_C8B3B9A1E18E,,1
