CLSID,Context,Component_,ProgId_Default,Description,AppId_,FileTypeMask,Icon_,IconIndex,DefInprocHandler,Argument,Feature_,Attributes
{74928157-6BED-3A74-8C79-5656835B9961},InprocServer32,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7,DataDynamics.ActiveReports.Design.UnitConverter,DataDynamics.ActiveReports.Design.UnitConverter,,,,0,,,FeatureService,0
{90C7722A-BDE7-3A43-A880-9D121B4677BB},InprocServer32,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7,DataDynamics.ActiveReports.Design.InternalC.OutputFormatValue,DataDynamics.ActiveReports.Design.InternalC.OutputFormatValue,,,,0,,,FeatureService,0
{A671EDC7-206A-4DAE-8490-A6CF0212B413},InprocServer32,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7,DataDynamics.ActiveReports.Design.ReportExplorer,DataDynamics.ActiveReports.Design.ReportExplorer,,,,0,,,FeatureService,0
{48C10133-0788-43B2-88EC-0892348BE50A},InprocServer32,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7,DataDynamics.ActiveReports.Design.Designer,DataDynamics.ActiveReports.Design.Designer,,,,0,,,FeatureService,0
{B6015805-36B4-39C1-B0A5-DEED49B40EC0},InprocServer32,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7,DataDynamics.ActiveReports.ParamQuery,DataDynamics.ActiveReports.ParamQuery,,,,0,,,FeatureService,0
{FAB76F31-E1A4-36B5-942C-8B3FA9D28774},InprocServer32,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7,DataDynamics.ActiveReports.InternalC.DDLp2,DataDynamics.ActiveReports.InternalC.DDLp2,,,,0,,,FeatureService,0
{34EA82B5-2D72-33B9-9DCB-220916AD751B},InprocServer32,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7,DataDynamics.ActiveReports.Design.UndoManager,DataDynamics.ActiveReports.Design.UndoManager,,,,0,,,FeatureService,0
{9A1B4585-91C8-32FB-90E9-570D5A763E4C},InprocServer32,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7,DataDynamics.ActiveReports.Design.InternalC.ModifiersConverter,DataDynamics.ActiveReports.Design.InternalC.ModifiersConverter,,,,0,,,FeatureService,0
{97430C95-D8C5-3669-AE41-27327738197E},InprocServer32,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7,DataDynamics.ActiveReports.Design.InternalC.OutputFormatTypeEditor,DataDynamics.ActiveReports.Design.InternalC.OutputFormatTypeEditor,,,,0,,,FeatureService,0
{569BD043-987F-3D0E-80E1-45D619D64DF5},InprocServer32,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7,DataDynamics.ActiveReports.Design.InternalC.ModifierValue,DataDynamics.ActiveReports.Design.InternalC.ModifierValue,,,,0,,,FeatureService,0
