Action,Type,Source,Target,ExtendedType
ConfigureIIs,1,IIsSchedule,ConfigureIIs,-2147483648
ConfigureIIsExec,11265,IIsSchedule,ConfigureIIsExec,-2147483648
StartMetabaseTransaction,11265,IIsExecute,StartMetabaseTransaction,-2147483648
RollbackMetabaseTransaction,11521,IIsExecute,RollbackMetabaseTransaction,-2147483648
CommitMetabaseTransaction,11777,IIsExecute,CommitMetabaseTransaction,-2147483648
WriteMetabaseChanges,11265,IIsExecute,WriteMetabaseChanges,-2147483648
ConfigureIIs7Exec,11265,IIsSchedule,ConfigureIIs7Exec,-2147483648
StartIIS7ConfigTransaction,11265,IIsExecute,StartIIS7ConfigTransaction,-2147483648
RollbackIIS7ConfigTransaction,11521,IIsExecute,RollbackIIS7ConfigTransaction,-2147483648
CommitIIS7ConfigTransaction,11777,IIsExecute,CommitIIS7ConfigTransaction,-2147483648
WriteIIS7ConfigChanges,11265,IIsExecute,WriteIIS7ConfigChanges,-2147483648
LaunchServiceManager,210,Citect.Ampla.Services.Manager.exe,/config,-2147483648
LaunchReleaseNotes,1,WixCA,WixShellExec,-2147483648
CheckAccount,65,SecurityCA,AuthenticateUser,-2147483648
WixUIPrintEula,65,WixUIWixca,PrintEula,-2147483648
SetIIS,51,IIS,1,-2147483648
SetIIS7,51,IIS7,1,-2147483648
SetIISGROUP,51,IISGROUP,IIS_IUSRS,-2147483648
ConfigureUsers,1,ScaSchedule,ConfigureUsers,-2147483648
CreateUser,11265,ScaExecute,CreateUser,-2147483648
CreateUserRollback,11521,ScaExecute,RemoveUser,-2147483648
RemoveUser,11841,ScaExecute,RemoveUser,-2147483648
SetAspnetIsapiDll64,51,ASPNETISAPIDLL,[NETFRAMEWORK40FULLINSTALLROOTDIR64]aspnet_isapi.dll,-2147483648
SetAspnetIsapiDll,51,ASPNETISAPIDLL,[NETFRAMEWORK40FULLINSTALLROOTDIR]aspnet_isapi.dll,-2147483648
SetAccountPrivilege,65,SecurityCA,AuthorizeUserForLogonService,-2147483648
SetDefaultAccount,65,SecurityCA,GetCurrentUser,-2147483648
PopulateAccountProperties,1,CA,PopulateAccountProperties,-2147483648
PopulatePrerequisites,1,CA,PopulatePrerequisites,-2147483648
CheckSqlInstance,1,CA,CheckSqlInstance,-2147483648
SetSqlSettings,1025,CA,SetSqlSettings,-2147483648
SetSqlSettings.Properties,51,SetSqlSettings,SqlServerInstance=[SQLSERVERINSTANCE],-2147483648
ConfigureAspNet,1025,CA,ConfigureAspNet,-2147483648
RegisterServiceModel,1025,CA,RegisterServiceModel,-2147483648
CloseServicesManager,1025,CA,CloseServicesManager,-2147483648
InstallPlatformCounters,1025,CA,InstallPerformanceCounters,-2147483648
InstallPlatformCounters.Properties,51,InstallPlatformCounters,target=platform,-2147483648
UninstallPlatformCounters,1025,CA,UninstallPerformanceCounters,-2147483648
UninstallPlatformCounters.Properties,51,UninstallPlatformCounters,target=platform,-2147483648
InstallApplicationsCounters,1025,CA,InstallPerformanceCounters,-2147483648
InstallApplicationsCounters.Properties,51,InstallApplicationsCounters,target=applications,-2147483648
UninstallApplicationsCounters,1025,CA,UninstallPerformanceCounters,-2147483648
UninstallApplicationsCounters.Properties,51,UninstallApplicationsCounters,target=applications,-2147483648
InstallHealthManagement,1025,CA,InstallHealthManagement,-2147483648
InstallHealthManagement.Properties,51,InstallHealthManagement,targetdir=[HealthManagement.BinFolder]˜targetvdir=AmplaHealthManagement˜username=[SERVICEACCOUNT]˜password=[SERVICEPASSWORD],-2147483648
UninstallHealthManagement,1025,CA,UninstallHealthManagement,-2147483648
UninstallHealthManagement.Properties,51,UninstallHealthManagement,targetdir=[HealthManagement.BinFolder]˜targetvdir=AmplaHealthManagement˜username=[SERVICEACCOUNT]˜password=[SERVICEPASSWORD],-2147483648
CommonFilesFolder.6492B5CA1425435EB4E109C1192F04D7,51,CommonFilesFolder.6492B5CA1425435EB4E109C1192F04D7,[CommonFilesFolder],-2147483648
DIRCA_NEWRETARGETABLEPROPERTY1.6492B5CA1425435EB4E109C1192F04D7,307,NEWRETARGETABLEPROPERTY1.6492B5CA1425435EB4E109C1192F04D7,[TARGETDIR],-2147483648
CommonFilesFolder.3689E6D571634F2294B5E633BF0B0BA1,51,CommonFilesFolder.3689E6D571634F2294B5E633BF0B0BA1,[CommonFilesFolder],-2147483648
DIRCA_NEWRETARGETABLEPROPERTY1.3689E6D571634F2294B5E633BF0B0BA1,307,NEWRETARGETABLEPROPERTY1.3689E6D571634F2294B5E633BF0B0BA1,[TARGETDIR],-2147483648
_C3D105B2_947F_458B_828E_D81D6F2624A8,1,_A9A8D1A9685D95D419C671CB024E4B7F,_Install@4,-2147483648
SystemFolder.246EB7AD_459A_4FA8_83D1_41A46D7634B7,51,SystemFolder.246EB7AD_459A_4FA8_83D1_41A46D7634B7,[SystemFolder],-2147483648
WindowsFolder.98CB24AD_52FB_DB5F_FF1F_C8B3B9A1E18E,51,WindowsFolder.98CB24AD_52FB_DB5F_FF1F_C8B3B9A1E18E,[WindowsFolder],-2147483648
SystemFolder.98CB24AD_52FB_DB5F_FF1F_C8B3B9A1E18E,51,SystemFolder.98CB24AD_52FB_DB5F_FF1F_C8B3B9A1E18E,[SystemFolder],-2147483648
SxsInstallCA,1,SxsUninstallCA,CustomAction_SxsMsmInstall,-2147483648
SxsUninstallCA,1,SxsUninstallCA,CustomAction_SxsMsmCleanup,-2147483648
