Error,Message
26001,Cannot connect to Internet Information Server.  ([2]   [3]   [4]   [5])
26002,Failed while processing WebSites.   ([2]   [3]   [4]   [5])
26003,Failed while processing WebDirs.  ([2]   [3]   [4]   [5])
26004,Failed while processing WebVirtualDirs.  ([2]   [3]   [4]   [5])
26005,Failed while processing WebFilters.  ([2]   [3]   [4]   [5])
26006,Failed while processing WebAppPools. ([2]   [3]   [4]   [5])
26007,Failed while processing MimeMaps. ([2]   [3]   [4]   [5])
26008,Failed while processing WebProperties. ([2]   [3]   [4]   [5])
26009,Failed while processing WebServiceExtensions. ([2]   [3]   [4]   [5])
26010,Failed while processing WebErrors. ([2]   [3]   [4]   [5])
26011,Failed while processing HttpHeaders. ([2]   [3]   [4]   [5])
26031,Failed to schedule transaction for changes to IIS.  ([2]   [3]   [4]   [5])
26032,Failed to schedule install of IIS Web Sites.  ([2]   [3]   [4]   [5])
26033,Failed to schedule install of IIS Web Directories.  ([2]   [3]   [4]   [5])
26034,Failed to schedule install of IIS Virtual Directories.  ([2]   [3]   [4]   [5])
26035,Failed to schedule install of IIS Filters.  ([2]   [3]   [4]   [5])
26036,Failed to schedule install of IIS AppPools.  ([2]   [3]   [4]   [5])
26037,Failed to schedule install of IIS Properties.  ([2]   [3]   [4]   [5])
26038,Failed to schedule install of IIS Web Service Extensions.  ([2]   [3]   [4]   [5])
26051,Failed to schedule uninstall of IIS Web Sites.  ([2]   [3]   [4]   [5])
26052,Failed to schedule uninstall of IIS Web Directories.  ([2]   [3]   [4]   [5])
26053,Failed to schedule uninstall of IIS Virtual Directories.  ([2]   [3]   [4]   [5])
26054,Failed to schedule uninstall of IIS Filters.  ([2]   [3]   [4]   [5])
26055,Failed to schedule uninstall of IIS AppPools.  ([2]   [3]   [4]   [5])
26056,Failed to schedule uninstall of IIS Properties.  ([2]   [3]   [4]   [5])
26057,Failed to schedule uninstall of IIS Web Service Extensions.  ([2]   [3]   [4]   [5])
26101,Failed to start IIS transaction. ([2]   [3]   [4]   [5])
26102,Failed to open metabase key.  ([2]   [3]   [4]   [5])
26103,Failed to create metabase key.  ([2]   [3]   [4]   [5])
26104,Failed to write data to metabase key.  ([2]   [3]   [4]   [5])
26105,Failed to create web application.  ([2]   [3]   [4]   [5])
26106,Failed to delete metabase key.  ([2]   [3]   [4]   [5])
26108,Failed to delete metabase value.  ([2]   [3]   [4]   [5])
26109,Failed to commit IIS transaction due to a sharing violation.  Some other application may be configuring IIS.
26401,Failed to create user.  ([2]   [3]   [4]   [5])
26402,Failed to create user due to invalid password.  ([2]   [3]   [4]   [5])
26403,Failed to add user to group.  ([2]   [3]   [4]   [5])
26404,Failed to create user because it already exists.  ([2]   [3]   [4]   [5])
26405,Failed to grant 'logon as service' rights to user.  ([2]   [3]   [4]   [5])
