Feature_,Component_
FeatureService,HealthManagement.ClearAppDataFolder
FeatureService,Citect.Ampla.ConfigurableServiceTypes.config
FeatureService,Citect.Ampla.InstalledReferences.config
FeatureService,Citect.Ampla.Notification.Client.exe.config
FeatureService,Citect.Ampla.ServiceConfiguration.config
FeatureService,Citect.Ampla.ServiceModel.Extensions.config
FeatureService,Citect.Ampla.ServiceModel.Behaviors.config
FeatureService,Citect.Ampla.ServiceModel.Bindings.config
FeatureService,Citect.Ampla.ServiceModel.Clients.config
FeatureService,Citect.Ampla.ServiceModel.Services.config
FeatureService,Citect.Ampla.Workflow.ConsoleHost.exe.config
FeatureService,Citect.Ampla.Workflow.ServiceHost.exe.config
FeatureService,Citect.Ampla.Workflow.ServiceModel.Services.config
FeatureService,Citect.Ampla.Notification.Client.exe
FeatureService,Citect.Ampla.Workflow.ConsoleHost.exe
FeatureService,Citect.Ampla.Workflow.ConsoleHost.pdb
FeatureService,Citect.Ampla.Workflow.ServiceHost.exe
FeatureService,Citect.Ampla.Workflow.ServiceHost.pdb
FeatureService,Citect.Ampla.ActiveReports.Server.dll
FeatureService,Citect.Ampla.ActiveReports.Server.pdb
FeatureService,Citect.Ampla.Connectors.FileConnector.dll
FeatureService,Citect.Ampla.Connectors.FileConnector.pdb
FeatureService,Citect.Ampla.Connectors.SerialConnectors.dll
FeatureService,Citect.Ampla.Connectors.SerialConnectors.pdb
FeatureService,Citect.Ampla.Cost.Server.dll
FeatureService,Citect.Ampla.Cost.Server.pdb
FeatureService,Citect.Ampla.Downtime.Server.ActiveReports.dll
FeatureService,Citect.Ampla.Downtime.Server.ActiveReports.pdb
FeatureService,Citect.Ampla.Downtime.Server.dll
FeatureService,Citect.Ampla.Downtime.Server.pdb
FeatureService,Citect.Ampla.Energy.Server.dll
FeatureService,Citect.Ampla.Energy.Server.pdb
FeatureService,Citect.Ampla.Framework.Extras.dll
FeatureService,Citect.Ampla.Framework.Extras.pdb
FeatureService,Citect.Ampla.General.Common.Chart.dll
FeatureService,Citect.Ampla.General.Common.Chart.pdb
FeatureService,Citect.Ampla.General.Common.dll
FeatureService,Citect.Ampla.General.Common.pdb
FeatureService,Citect.Ampla.General.Common.Gui.dll
FeatureService,Citect.Ampla.General.Common.Gui.pdb
FeatureService,Citect.Ampla.General.Common.Parsers.dll
FeatureService,Citect.Ampla.General.Common.Parsers.pdb
FeatureService,Citect.Ampla.General.Server.ActiveReports.dll
FeatureService,Citect.Ampla.General.Server.ActiveReports.pdb
FeatureService,Citect.Ampla.General.Server.dll
FeatureService,Citect.Ampla.General.Server.pdb
FeatureService,Citect.Ampla.Inventory.Server.dll
FeatureService,Citect.Ampla.Inventory.Server.pdb
