File,Component_,FileName,FileSize,Version,Language,Attributes,Sequence
Citect.Ampla.ConfigurableServiceTypes.config,Citect.Ampla.ConfigurableServiceTypes.config,ryf1cxou.con|Citect.Ampla.ConfigurableServiceTypes.config,4435,,,512,69
Citect.Ampla.InstalledReferences.config,Citect.Ampla.InstalledReferences.config,bchrz2lh.con|Citect.Ampla.InstalledReferences.config,1334,,,512,134
Citect.Ampla.Notification.Client.exe.config,Citect.Ampla.Notification.Client.exe.config,1qh3nizn.con|Citect.Ampla.Notification.Client.exe.config,665,,,512,160
Citect.Ampla.ServiceConfiguration.config,Citect.Ampla.ServiceConfiguration.config,pzhzcduz.con|Citect.Ampla.ServiceConfiguration.config,4226,,,512,213
Citect.Ampla.ServiceModel.Extensions.config,Citect.Ampla.ServiceModel.Extensions.config,xbqld_lf.con|Citect.Ampla.ServiceModel.Extensions.config,262,,,512,220
Citect.Ampla.ServiceModel.Behaviors.config,Citect.Ampla.ServiceModel.Behaviors.config,9vvpf8o0.con|Citect.Ampla.ServiceModel.Behaviors.config,610,,,512,216
Citect.Ampla.ServiceModel.Bindings.config,Citect.Ampla.ServiceModel.Bindings.config,ldz_qym_.con|Citect.Ampla.ServiceModel.Bindings.config,643,,,512,217
Citect.Ampla.ServiceModel.Clients.config,Citect.Ampla.ServiceModel.Clients.config,hajrl1vv.con|Citect.Ampla.ServiceModel.Clients.config,4948,,,512,218
Citect.Ampla.ServiceModel.Services.config,Citect.Ampla.ServiceModel.Services.config,0cahhwed.con|Citect.Ampla.ServiceModel.Services.config,16467,,,512,222
Citect.Ampla.Workflow.ConsoleHost.exe.config,Citect.Ampla.Workflow.ConsoleHost.exe.config,r1np9bsx.con|Citect.Ampla.Workflow.ConsoleHost.exe.config,4761,,,512,257
Citect.Ampla.Workflow.ServiceHost.exe.config,Citect.Ampla.Workflow.ServiceHost.exe.config,zn1lqpld.con|Citect.Ampla.Workflow.ServiceHost.exe.config,4734,,,512,264
Citect.Ampla.Workflow.ServiceModel.Services.config,Citect.Ampla.Workflow.ServiceModel.Services.config,q0hxekm7.con|Citect.Ampla.Workflow.ServiceModel.Services.config,588,,,512,266
ProductionAnalyst.exe.config,ProductionAnalyst.exe.config,pq8059hm.con|ProductionAnalyst.exe.config,1632,,,512,813
Citect.Ampla.Notification.Client.exe,Citect.Ampla.Notification.Client.exe,nal4qitc.exe|Citect.Ampla.Notification.Client.exe,192512,5.2.6135.0,0,1536,159
Citect.Ampla.Notification.Client.pdb,Citect.Ampla.Notification.Client.pdb,4pxd_qqu.pdb|Citect.Ampla.Notification.Client.pdb,54784,,,512,161
Citect.Ampla.Workflow.ConsoleHost.exe,Citect.Ampla.Workflow.ConsoleHost.exe,n2jkzdl2.exe|Citect.Ampla.Workflow.ConsoleHost.exe,6656,5.2.6135.0,0,1536,256
