Action,Condition,Sequence
AppSearch,,50
CostInitialize,,800
FileCost,,900
CostFinalize,,1000
FatalError,,-3
UserExit,,-2
CustomExitDialog,,-1
ExecuteAction,,1300
PrepareDlg,,49
ProgressDlg,,1299
ResumeDlg,Installed AND (RESUME OR Preselected),1297
WelcomeDlg,NOT Installed OR PATCH,1298
MaintenanceWelcomeDlg,Installed AND NOT RESUME AND NOT Preselected AND NOT PATCH,1296
SetIIS,IISVERSION AND (IISVERSION = "#5" OR IISVERSION = "#6" OR IISVERSION = "#7"),51
SetIIS7,IISVERSION = "#7",52
SetIISGROUP,IISVERSION = "#7",53
SetDefaultAccount,1,701
PopulatePrerequisites,NOT Installed,1001
LaunchConditions,,100
ValidateProductID,,700
FindRelatedProducts,,99
CommonFilesFolder.6492B5CA1425435EB4E109C1192F04D7,,4
DIRCA_NEWRETARGETABLEPROPERTY1.6492B5CA1425435EB4E109C1192F04D7,NEWRETARGETABLEPROPERTY1.6492B5CA1425435EB4E109C1192F04D7="",702
CommonFilesFolder.3689E6D571634F2294B5E633BF0B0BA1,,3
DIRCA_NEWRETARGETABLEPROPERTY1.3689E6D571634F2294B5E633BF0B0BA1,NEWRETARGETABLEPROPERTY1.3689E6D571634F2294B5E633BF0B0BA1="",703
SystemFolder.246EB7AD_459A_4FA8_83D1_41A46D7634B7,,2
WindowsFolder.98CB24AD_52FB_DB5F_FF1F_C8B3B9A1E18E,,1
SystemFolder.98CB24AD_52FB_DB5F_FF1F_C8B3B9A1E18E,,1
