Component_,Name,Value
C__00723E16360A456D922FB81C139560ED.6492B5CA1425435EB4E109C1192F04D7,Name,ActiveReports.Viewer
C__00723E16360A456D922FB81C139560ED.6492B5CA1425435EB4E109C1192F04D7,Version,3.4.0.2027
C__00723E16360A456D922FB81C139560ED.6492B5CA1425435EB4E109C1192F04D7,Culture,neutral
C__00723E16360A456D922FB81C139560ED.6492B5CA1425435EB4E109C1192F04D7,PublicKeyToken,CC4967777C49A3FF
C__0B38D2CE72EE4FA1B7B95793DCD41E3A.6492B5CA1425435EB4E109C1192F04D7,Name,ActiveReports.HtmlExport
C__0B38D2CE72EE4FA1B7B95793DCD41E3A.6492B5CA1425435EB4E109C1192F04D7,Version,3.4.0.2027
C__0B38D2CE72EE4FA1B7B95793DCD41E3A.6492B5CA1425435EB4E109C1192F04D7,Culture,neutral
C__0B38D2CE72EE4FA1B7B95793DCD41E3A.6492B5CA1425435EB4E109C1192F04D7,PublicKeyToken,CC4967777C49A3FF
C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7,Name,ActiveReports.Design
C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7,Version,3.4.0.2027
C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7,Culture,neutral
C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7,PublicKeyToken,CC4967777C49A3FF
C__19198212A3F6400F8EAB7538C6B61969.6492B5CA1425435EB4E109C1192F04D7,Name,ActiveReports.RtfExport
C__19198212A3F6400F8EAB7538C6B61969.6492B5CA1425435EB4E109C1192F04D7,Version,3.4.0.2027
C__19198212A3F6400F8EAB7538C6B61969.6492B5CA1425435EB4E109C1192F04D7,Culture,neutral
C__19198212A3F6400F8EAB7538C6B61969.6492B5CA1425435EB4E109C1192F04D7,PublicKeyToken,CC4967777C49A3FF
C__368855A407D14693B4EB3AE549EFC3CD.6492B5CA1425435EB4E109C1192F04D7,Name,ActiveReports.TiffExport
C__368855A407D14693B4EB3AE549EFC3CD.6492B5CA1425435EB4E109C1192F04D7,Version,3.4.0.2027
