Registry,Root,Key,Name,Value,Component_
reg5D0A3051A64333FA717E737D4D35E782,-1,Software\[Manufacturer]\[Ampla],,,AmplaShortcutFolder
reg9691247DB6040982B14CED148990B18C,2,SOFTWARE\Citect\Ampla,InstallPath,[APPLICATIONFOLDER],ProductInformation
regF8B9B4885FFCF1A57E7B074A13AA53C7,2,Software\Microsoft\.NETFramework\AssemblyFolders\[ProductName],,[ProgramFilesFolder]Citect\Ampla,AssemblyFoldersRegistryValue
reg5515951F89EBD186A3C9A68DB5504E2A,2,SOFTWARE\Citect\Ampla,ProductVersion,[ProductVersion],ProductInformation
reg960030DA299E761862E3AAC34EEA20A3,2,SOFTWARE\Citect\Ampla,+,,ProductInformation
_0866D6A8EF3E44C1A8A7C2EE3872ACFE.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{74928157-6BED-3A74-8C79-5656835B9961}\Implemented Categories,+,,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_03F14318C08743C1B8C432BB51F4B8BD.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{74928157-6BED-3A74-8C79-5656835B9961}\Implemented Categories\{62C8FE65-4EBB-45E7-B440-6E39B2CDBF29},+,,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_19B992E636AA4A2DA4D6B7AD9279EBA0.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{74928157-6BED-3A74-8C79-5656835B9961}\InprocServer32,RuntimeVersion,v1.0.3705,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_839E213EF6F24A4085951601A97B4D38.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{74928157-6BED-3A74-8C79-5656835B9961}\InprocServer32,ThreadingModel,Both,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_A8F63850F4B14711AD2B7531D8DF8DF8.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{74928157-6BED-3A74-8C79-5656835B9961}\InprocServer32,Class,DataDynamics.ActiveReports.Design.UnitConverter,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_D3672A3E98C8407B88785BD8ADAC2808.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{74928157-6BED-3A74-8C79-5656835B9961}\InprocServer32,Assembly,"ActiveReports.Design, Version=3.4.0.2027, Culture=neutral, PublicKeyToken=cc4967777c49a3ff",C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_9CDCF48B0A864317A2064AD1A4924412.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{90C7722A-BDE7-3A43-A880-9D121B4677BB}\InprocServer32,Class,DataDynamics.ActiveReports.Design.InternalC.OutputFormatValue,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_BD1741160C37442AADCCD82DC125BD22.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{90C7722A-BDE7-3A43-A880-9D121B4677BB}\InprocServer32,Assembly,"ActiveReports.Design, Version=3.4.0.2027, Culture=neutral, PublicKeyToken=cc4967777c49a3ff",C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_DD1BC0F694BE41259DD57F33369C4CDD.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{90C7722A-BDE7-3A43-A880-9D121B4677BB}\InprocServer32,RuntimeVersion,v1.0.3705,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_EF1A854BF0FC4FF7AF7893E49FB700B8.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{90C7722A-BDE7-3A43-A880-9D121B4677BB}\InprocServer32,ThreadingModel,Both,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_B18047A18CF2496CA8D161A94A605A1F.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{90C7722A-BDE7-3A43-A880-9D121B4677BB}\Implemented Categories,+,,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_114E11036FB64F6B8FF894B9AA0C3982.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{90C7722A-BDE7-3A43-A880-9D121B4677BB}\Implemented Categories\{62C8FE65-4EBB-45E7-B440-6E39B2CDBF29},+,,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_6EAA4CD35EEE4FE8A23537D8FFAA6DA9.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{A671EDC7-206A-4DAE-8490-A6CF0212B413}\InprocServer32,Assembly,"ActiveReports.Design, Version=3.4.0.2027, Culture=neutral, PublicKeyToken=cc4967777c49a3ff",C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_7543F19F4564409CB99C139926B394C2.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{A671EDC7-206A-4DAE-8490-A6CF0212B413}\InprocServer32,Class,DataDynamics.ActiveReports.Design.ReportExplorer,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_C8EB81393EC447B39888436953A0CAE3.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{A671EDC7-206A-4DAE-8490-A6CF0212B413}\InprocServer32,RuntimeVersion,v1.0.3705,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_DF3BD86EA63F4C7F8B10DEE08EAF8542.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{A671EDC7-206A-4DAE-8490-A6CF0212B413}\InprocServer32,ThreadingModel,Both,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_91D0DE8290CE4C1F80C643B697F480D9.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{A671EDC7-206A-4DAE-8490-A6CF0212B413}\Implemented Categories,+,,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_AC7DEC6D167341889485A1BB0D3A735B.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{A671EDC7-206A-4DAE-8490-A6CF0212B413}\Implemented Categories\{62C8FE65-4EBB-45E7-B440-6E39B2CDBF29},+,,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_63ECAB8006974AB080288C2C16EA9582.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{48C10133-0788-43B2-88EC-0892348BE50A}\Implemented Categories,+,,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_321F09BCDCCB4745B0AFB3B735C45AC8.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{48C10133-0788-43B2-88EC-0892348BE50A}\Implemented Categories\{62C8FE65-4EBB-45E7-B440-6E39B2CDBF29},+,,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_190A85FC4E344E80A5BABF1305361C38.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{48C10133-0788-43B2-88EC-0892348BE50A}\InprocServer32,RuntimeVersion,v1.0.3705,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_35FB31B101904F8CA9B4F4EE2A70D515.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{48C10133-0788-43B2-88EC-0892348BE50A}\InprocServer32,Assembly,"ActiveReports.Design, Version=3.4.0.2027, Culture=neutral, PublicKeyToken=cc4967777c49a3ff",C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_622B343D8F004509A6E34E968DC6792C.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{48C10133-0788-43B2-88EC-0892348BE50A}\InprocServer32,ThreadingModel,Both,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_F49F750ECC6F4A458AF652B87092B2C4.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{48C10133-0788-43B2-88EC-0892348BE50A}\InprocServer32,Class,DataDynamics.ActiveReports.Design.Designer,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_145775D22BA64E8B969149D67DFAB54F.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{B6015805-36B4-39C1-B0A5-DEED49B40EC0}\InprocServer32,Class,DataDynamics.ActiveReports.ParamQuery,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_27FB9320BEA64CEEBF1E290913999E4F.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{B6015805-36B4-39C1-B0A5-DEED49B40EC0}\InprocServer32,Assembly,"ActiveReports.Design, Version=3.4.0.2027, Culture=neutral, PublicKeyToken=cc4967777c49a3ff",C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_405986E9B6534D47B59AE146AC0E8F40.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{B6015805-36B4-39C1-B0A5-DEED49B40EC0}\InprocServer32,RuntimeVersion,v1.0.3705,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_CFB92FD22FA747CB9EA218547EAF3023.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{B6015805-36B4-39C1-B0A5-DEED49B40EC0}\InprocServer32,ThreadingModel,Both,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
